Size lamb-ar-c lamb-rs-c-ag lamb-fuse-rs-c-ag FusedLamb AllReduceBW
1024 0.2869236265382546 0.22203574669414958 0.19751198000174228 1.0 0.3029198321114373
2048 7.2845066101682905 5.511790181215932 5.090156499036816 1.0 10.049668367018542
4096 6.79258246649463 5.132084684560434 4.525862278197398 1.0 9.214738889430214
8192 7.530300703011962 5.623689673954973 4.950960207482134 1.0 10.012253252991007
16384 6.344407250823072 4.629194476307491 3.99765354288068 1.0 8.44210388218748
32768 5.727334203502783 4.231102570547597 3.8920142476527584 1.0 7.435235488313468
65536 5.451310399593929 4.19563752286728 4.142214728907764 1.0 6.975283630758957
131072 3.2846251735307725 3.140742236152598 3.864788452004265 1.0 4.0738454261455495
262144 2.6356597083986344 2.3026331521665226 3.817378835215626 1.0 3.8937264119199386
524288 2.2242026388946337 1.8417081863411067 3.024196883628545 1.0 3.0846808213011156
1048576 1.5892540550617802 1.3445197395395359 2.6193678915135608 1.0 2.671755249343832
2097152 1.119425578861528 1.3830153713400493 2.219090866164577 1.0 2.2634726834878687
4194304 1.2184036989531226 1.3484796561506314 2.3295266098681733 1.0 2.376117142065537
8388608 1.1172509210963122 1.251203672358653 2.412197729972077 1.0 2.4604416845715185
16777216 1.08148647970218 1.22943636438755 2.3878531862123236 1.0 2.43561024993657
33554432 1.0710192977290465 1.2194876053924484 2.3745730253035346 1.0 2.422064485809605
67108864 1.0465390403359534 1.2003929221829577 2.3378612053901686 1.0 2.384618429497972
134217728 1.0428368995023147 1.202032918262699 2.332922938664205 1.0 2.379581397437489
268435456 1.0433296802053362 1.2015461166489987 2.3783760456380967 1.0 2.425943566550859
536870912 1.037332499798571 1.2000435798053577 2.3992872725830328 1.0 2.4472730180346933
1073741824 1.0 1.0 1.0 1.0 1095216660.48
