Size adam-ar-c adam-rs-c-ag adam-fuse-rs-c-ag FusedAdam AllReduceBW
1024 0.13651321333785696 0.14212587477825275 0.16631995716677414 1.0 0.16964635631010963
2048 6.511581812508364 4.280515835738714 4.876289616804151 1.0 8.365641570618614
4096 6.029155375504131 3.8791913021166557 4.9724425766747835 1.0 7.599966954678208
8192 5.442227614955142 3.5183622145273183 4.506799816819371 1.0 6.767850208554964
16384 5.025084002836765 3.1809890582616953 4.073510269509194 1.0 6.107316348532246
32768 4.83338959616919 3.0931520355221807 4.2737374260391645 1.0 5.72229610462305
65536 3.3062257749444077 2.1975134766422686 3.83494467419768 1.0 3.911643567681634
131072 2.2381175651800462 1.6142531266390991 3.7290984638227838 1.0 3.8036804330992395
262144 1.6575969788380123 1.1787665460091314 2.989910737450524 1.0 3.049708952199534
524288 1.3488496291132013 1.0867527348973423 2.1055798687378062 1.0 2.1476914661125623
1048576 1.1701923126001474 1.0574134486179052 2.0900011895589827 1.0 2.1318012133501623
2097152 1.0846263414940078 1.0486446634784417 2.103715876717103 1.0 2.1457901942514455
4194304 1.0277427028101027 1.0160599000455157 2.151512428684088 1.0 2.19454267725777
8388608 1.0252782780455494 1.0413644960215134 2.1498679440660786 1.0 2.1928653029474003
16777216 1.0187351701165623 1.0389771617669505 2.2073146182963788 1.0 2.2514609106623062
33554432 1.0041265359880958 1.0251478848753883 2.1982819591466667 1.0 2.2422475983296
67108864 1.0028851065321864 1.035337479041368 2.1935675647828368 1.0 2.2374389160784935
134217728 1.000807030197288 1.0433850226640942 2.1991854143047305 1.0 2.243169122590825
268435456 1.000272670523862 1.044705220744268 2.2051468673568357 1.0 2.2492498047039726
536870912 0.9994981610117123 1.0491937242604183 2.2069911994100972 1.0 2.2511310233982993
1073741824 1.0 1.0 1.0 1.0 1095216660.48
